SKU,WEEK-1,WEEK-3,WEEK-4,WEEK-2,WEEK-5
0.05,5.88,5.07,5.45,5.37,6.36
0.1,10.19,10.01,10.27,9.76,10.51
0.14,14.27,14.88,14.99,14.12,14.62
0.19,18.32,19.06,19.63,18.47,18.73
0.24,22.31,23.14,23.93,22.76,22.56
0.29,26.29,25.21,26.18,25.75,24.56
0.34,28.74,27.04,28.15,28.53,26.42
0.38,30.63,28.85,30.13,30.74,28.01
0.43,32.49,30.63,31.33,32.7,29.59
0.48,34.29,32.0,32.52,34.62,31.08
0.53,35.55,33.28,33.66,36.17,32.34
0.57,36.68,34.49,34.74,37.5,33.58
0.62,37.58,35.52,35.8,38.74,34.56
0.67,38.47,36.54,36.83,39.93,35.44
0.72,39.33,37.45,37.74,40.93,36.33
0.77,40.15,38.34,38.64,41.91,37.22
0.81,40.96,39.18,39.5,42.8,38.07
0.86,41.76,40.01,40.27,43.66,38.92
0.91,42.44,40.84,40.93,44.51,39.62
0.96,43.11,41.63,41.56,45.35,40.28
1.01,43.74,42.38,42.16,46.13,40.95
1.05,44.37,43.09,42.76,46.79,41.58
1.1,44.93,43.75,43.34,47.43,42.22
1.15,45.45,44.37,43.93,48.05,42.82
1.2,45.98,44.97,44.51,48.66,43.39
1.24,46.48,45.57,45.04,49.22,43.96
1.29,46.95,46.16,45.57,49.77,44.49
1.34,47.39,46.69,46.09,50.3,45.03
1.39,47.84,47.19,46.61,50.82,45.54
1.44,48.28,47.66,47.13,51.34,46.04
1.48,48.71,48.11,47.62,51.86,46.52
1.53,49.15,48.55,48.1,52.36,46.99
1.58,49.59,48.97,48.58,52.8,47.44
1.63,50.01,49.38,49.06,53.24,47.88
1.68,50.43,49.78,49.54,53.67,48.32
1.72,50.85,50.18,50.02,54.09,48.77
1.77,51.27,50.58,50.49,54.52,49.21
1.82,51.68,50.97,50.92,54.92,49.59
1.87,52.1,51.35,51.33,55.3,49.97
1.91,52.51,51.71,51.72,55.67,50.35
1.96,52.92,52.07,52.1,56.04,50.73
2.01,53.28,52.41,52.45,56.4,51.11
2.06,53.64,52.75,52.79,56.76,51.46
2.11,54.0,53.08,53.13,57.1,51.8
2.15,54.35,53.42,53.46,57.42,52.15
2.2,54.69,53.76,53.79,57.74,52.47
2.25,55.02,54.07,54.11,58.06,52.78
2.3,55.36,54.38,54.42,58.37,53.1
2.35,55.68,54.68,54.74,58.69,53.42
2.39,56.01,54.98,55.05,59.0,53.73
2.44,56.33,55.28,55.35,59.31,54.05
2.49,56.64,55.57,55.64,59.6,54.37
2.54,56.95,55.86,55.94,59.88,54.68
2.58,57.25,56.15,56.23,60.16,55.0
2.63,57.54,56.42,56.5,60.42,55.28
2.68,57.83,56.68,56.77,60.69,55.57
2.73,58.12,56.94,57.05,60.96,55.85
2.78,58.39,57.2,57.32,61.21,56.14
2.82,58.66,57.46,57.58,61.47,56.42
2.87,58.92,57.72,57.84,61.72,56.71
2.92,59.18,57.98,58.09,61.97,56.99
2.97,59.45,58.23,58.34,62.22,57.28
3.02,59.71,58.48,58.59,62.45,57.56
3.06,59.98,58.72,58.83,62.68,57.82
3.11,60.23,58.96,59.06,62.9,58.07
3.16,60.48,59.19,59.29,63.12,58.32
