,DAY,SKU,Location,Alley,AlleyCell,Max,Min,WEEK-1,WEEK-2,WEEK-3,WEEK-4,WEEK-5
0,FRI,2354,A0617402,A06,A0617,80.0,60.0,0.0,1.0,1.0,0.0,0.0
1,FRI,5028,A0703503,A07,A0703,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,FRI,8972,A0527401,A05,A0527,120.0,90.0,1.0,2.0,0.0,1.0,0.0
3,FRI,10116,A0742501,A07,A0742,144.0,108.0,0.0,1.0,0.0,0.0,0.0
4,FRI,11259,A0608303,A06,A0608,200.0,150.0,1.0,3.0,2.0,0.0,0.0
5,FRI,15898,A0529204,A05,A0529,90.0,68.0,1.0,1.0,1.0,0.0,0.0
6,FRI,17769,A0404301,A04,A0404,240.0,180.0,7.0,6.0,1.0,1.0,0.0
7,FRI,18166,A0530102,A05,A0530,48.0,36.0,0.0,0.0,1.0,0.0,0.0
8,FRI,18169,A0616503,A06,A0616,80.0,60.0,1.0,2.0,0.0,0.0,0.0
9,FRI,18849,A0615301,A06,A0615,120.0,90.0,0.0,1.0,2.0,0.0,0.0
10,FRI,22990,A0509202,A05,A0509,120.0,90.0,0.0,0.0,2.0,0.0,0.0
11,FRI,29405,A0605102,A06,A0605,168.0,126.0,0.0,1.0,0.0,0.0,0.0
12,FRI,29409,A0531203,A05,A0531,64.0,48.0,0.0,0.0,1.0,6.0,0.0
13,FRI,30249,A0244102,A02,A0244,120.0,90.0,0.0,0.0,1.0,1.0,0.0
14,FRI,30379,A0503403,A05,A0503,240.0,180.0,0.0,1.0,0.0,0.0,0.0
15,FRI,41192,A0518301,A05,A0518,160.0,120.0,1.0,0.0,0.0,0.0,0.0
16,FRI,41591,A0516501,A05,A0516,200.0,150.0,0.0,2.0,0.0,0.0,0.0
17,FRI,58289,A0746202,A07,A0746,210.0,158.0,3.0,4.0,0.0,0.0,0.0
18,FRI,58291,A0727201,A07,A0727,222.0,167.0,1.0,4.0,1.0,0.0,0.0
19,FRI,58292,A0738503,A07,A0738,120.0,90.0,1.0,6.0,4.0,0.0,0.0
20,FRI,60322,A0615504,A06,A0615,640.0,480.0,0.0,1.0,0.0,0.0,0.0
21,FRI,67719,A0403403,A04,A0403,96.0,72.0,5.0,4.0,1.0,1.0,0.0
22,FRI,67720,A0403302,A04,A0403,80.0,60.0,2.0,1.0,1.0,0.0,0.0
23,FRI,67726,A0401401,A04,A0401,160.0,120.0,0.0,0.0,2.0,0.0,0.0
24,FRI,67828,A0403103,A04,A0403,80.0,60.0,2.0,1.0,2.0,0.0,0.0
25,FRI,74315,A0626502,A06,A0626,96.0,72.0,4.0,6.0,6.0,2.0,0.0
26,FRI,74347,A0642402,A06,A0642,96.0,72.0,0.0,1.0,0.0,0.0,0.0
27,FRI,74349,R0412103,R04,R0412,1973.0,986.0,0.0,0.0,2.0,0.0,0.0
28,FRI,74350,A0628401,A06,A0628,240.0,180.0,0.0,1.0,0.0,0.0,0.0
29,FRI,81960,A0203104,A02,A0203,135.0,101.0,0.0,15.0,1.0,0.0,0.0
30,FRI,82067,A0715504,A07,A0715,144.0,108.0,4.0,4.0,1.0,1.0,0.0
31,FRI,87272,A0524402,A05,A0524,60.0,45.0,6.0,21.0,3.0,0.0,0.0
32,FRI,90996,A0416302,A04,A0416,240.0,180.0,0.0,1.0,0.0,0.0,0.0
33,FRI,118969,A0334205,A03,A0334,144.0,108.0,0.0,0.0,1.0,0.0,0.0
34,FRI,120541,A0244202,A02,A0244,160.0,120.0,2.0,0.0,0.0,0.0,0.0
35,FRI,125497,R0412102,R04,R0412,1440.0,720.0,1.0,5.0,3.0,0.0,0.0
36,FRI,126790,A0207203,A02,A0207,64.0,48.0,0.0,0.0,1.0,0.0,0.0
37,FRI,132374,A0616204,A06,A0616,140.0,105.0,0.0,0.0,1.0,0.0,0.0
38,FRI,135079,A0614404,A06,A0614,90.0,68.0,2.0,0.0,1.0,0.0,0.0
39,FRI,139847,R0413101,R04,R0413,1470.0,735.0,4.0,21.0,3.0,2.0,0.0
40,FRI,139922,A0306505,A03,A0306,320.0,240.0,0.0,0.0,2.0,0.0,0.0
41,FRI,139923,A0424304,A04,A0424,320.0,240.0,0.0,2.0,2.0,0.0,0.0
42,FRI,140882,A0230305,A02,A0230,180.0,135.0,2.0,2.0,2.0,0.0,0.0
43,FRI,141206,A0216103,A02,A0216,112.0,84.0,0.0,1.0,0.0,0.0,0.0
44,FRI,146788,A0205204,A02,A0205,160.0,120.0,1.0,0.0,0.0,0.0,0.0
45,FRI,146925,A0703101,A07,A0703,112.0,84.0,0.0,1.0,0.0,0.0,0.0
46,FRI,147353,A0122103,A01,A0122,192.0,144.0,1.0,0.0,0.0,0.0,0.0
47,FRI,147354,A0122104,A01,A0122,100.0,75.0,1.0,0.0,0.0,0.0,0.0
48,FRI,151903,A0623301,A06,A0623,140.0,105.0,0.0,0.0,1.0,0.0,0.0
49,FRI,151905,A0617404,A06,A0617,288.0,216.0,0.0,0.0,1.0,0.0,0.0
50,FRI,153124,A0246207,A02,A0246,144.0,108.0,1.0,0.0,5.0,0.0,0.0
51,FRI,153416,A0223303,A02,A0223,168.0,126.0,0.0,0.0,1.0,0.0,0.0
52,FRI,163480,A0542202,A05,A0542,80.0,60.0,0.0,0.0,1.0,0.0,0.0
53,FRI,164264,A0840302,A08,A0840,288.0,216.0,2.0,1.0,2.0,1.0,0.0
54,FRI,167719,A0318506,A03,A0318,240.0,180.0,0.0,1.0,2.0,0.0,0.0
55,FRI,167781,A0803303,A08,A0803,180.0,135.0,1.0,1.0,1.0,1.0,0.0
56,FRI,168693,A0103201,A01,A0103,100.0,75.0,0.0,1.0,0.0,1.0,0.0
57,FRI,169033,A0502402,A05,A0502,140.0,105.0,1.0,1.0,0.0,0.0,0.0
58,FRI,172042,A0540201,A05,A0540,77.0,58.0,1.0,0.0,0.0,0.0,0.0
59,FRI,172399,A0722503,A07,A0722,148.0,111.0,0.0,4.0,1.0,0.0,0.0
60,FRI,174087,A0403202,A04,A0403,80.0,60.0,0.0,1.0,1.0,0.0,0.0
61,FRI,180661,A0508504,A05,A0508,180.0,135.0,0.0,0.0,1.0,0.0,0.0
62,FRI,180775,A0531401,A05,A0531,112.0,84.0,0.0,1.0,0.0,0.0,0.0
63,FRI,180776,R0511101,R05,R0511,3130.0,1565.0,1.0,2.0,1.0,0.0,0.0
64,FRI,184714,A0443302,A04,A0443,240.0,180.0,0.0,0.0,1.0,1.0,0.0
65,FRI,186518,A0620202,A06,A0620,60.0,45.0,0.0,0.0,0.0,1.0,0.0
66,FRI,188660,A0328507,A03,A0328,800.0,600.0,3.0,4.0,4.0,2.0,0.0
67,FRI,189313,A0214105,A02,A0214,220.0,165.0,1.0,0.0,0.0,0.0,0.0
68,FRI,191284,A0516302,A05,A0516,270.0,203.0,0.0,0.0,1.0,0.0,0.0
69,FRI,191910,A0908402,A09,A0908,1200.0,900.0,1.0,0.0,0.0,0.0,0.0
70,FRI,191923,A0929203,A09,A0929,1200.0,900.0,0.0,1.0,0.0,1.0,0.0
71,FRI,192928,A0717404,A07,A0717,216.0,162.0,3.0,10.0,2.0,0.0,0.0
72,FRI,193156,A0345502,A03,A0345,100.0,75.0,1.0,0.0,0.0,0.0,0.0
73,FRI,193875,A0524301,A05,A0524,571.0,428.0,3.0,12.0,6.0,1.0,0.0
74,FRI,195878,A0318505,A03,A0318,400.0,300.0,0.0,1.0,0.0,0.0,0.0
75,FRI,196883,A0804201,A08,A0804,300.0,225.0,0.0,0.0,0.0,1.0,0.0
76,FRI,200582,A0401404,A04,A0401,192.0,144.0,1.0,0.0,0.0,0.0,0.0
77,FRI,200729,A0628103,A06,A0628,144.0,108.0,0.0,0.0,2.0,0.0,0.0
78,FRI,201812,A0628301,A06,A0628,224.0,168.0,2.0,1.0,3.0,1.0,0.0
79,FRI,202889,A0914502,A09,A0914,600.0,450.0,2.0,8.0,2.0,2.0,0.0
80,FRI,202891,A1013304,A10,A1013,1170.0,878.0,0.0,2.0,1.0,0.0,0.0
